method,unlearning_flops,inference_flops,holistic_C,better_than_1SISA
1-SISA,20082327756800.0,14490714560.0,inf,True
ERASE-1shot,376320.0,528474128000.0,39.071936672182744,True
ERASE-2shot,752640.0,1083975105920.0,18.777578397962866,True
ERASE-3shot,1128960.0,1534177144512.0,13.21478315001754,True
ERASE-4shot,1505280.0,2058275497536.0,9.826047448243392,True
